 April ; Apr 	 april 	 time 
 dependable ; good ; safe ; secure 	 veilig 	 adjective 
 depository financial institution ; bank ; banking concern ; banking company 	 bank 	 city 
 describe ; depict ; draw 	 beschrijven 	 verb 
 design ; designing 	 schets 	 abstract 
 design ; plan 	 ontwerpen 	 verb 
 desire ; want 	 willen 	 verb 
 desk 	 schrijftafel 	 house 
 despite 	 ondanks 	 preposition 
 destruction ; devastation 	 vernietiging 	 abstract 
 detail ; particular ; item 	 bijzonderheid 	 logistics 
 detect ; observe ; find ; discover ; notice 	 ontdekken 	 verb 
 develop 	 ontwikkelen 	 verb 
 development ; evolution 	 evolutie 	 nature 
 deviation ; divergence ; departure ; difference 	 afwijking 	 mathematics 
 dictionary ; lexicon 	 woordenboek 	 linguistics 
 die ; decease ; perish ; go ; exit ; pass away ; expire ; pass ; kick the bucket ; cash in one's chips ; buy the farm ; conk ; give-up the ghost ; drop dead ; pop off ; choke ; croak ; snuff it 	 sterven 	 verb 
 difference 	 verschil 	 abstract 
 different 	 anders 	 adjective 
 difficult ; hard 	 moeilijk 	 adjective 
 difficulty 	 strubbeling 	 abstract 
 direction 	 richting 	 mathematics 
 directly ; straight ; direct 	 direct ; recht 	 adverb 
 director ; manager ; managing director 	 directeur 	 profession 
 dirty ; dingy ; muddied ; muddy 	 smerig ; vuil 	 adjective 
 dirty ; soiled ; unclean 	 onrein 	 adjective 
 discipline ; subject ; subject area ; subject field ; field ; field of study ; study ; bailiwick 	 tucht 	 linguistics 
 discover ; find 	 ontdekken 	 verb 
 discovery ; find ; uncovering 	 ontdekking 	 society 
 discussion ; give-and-take ; word 	 discussie ; bespreking 	 communication 
 disease 	 ziekte 	 medicine 
 displace ; fire ; give notice ; can ; dismiss ; give the axe ; send away ; sack ; force out ; give the sack ; terminate 	 ontslaan 	 verb 
 distance 	 afstand ; verwijderen 	 mathematics 
 diverse ; various 	 divers 	 adjective 
 diverseness ; diversity ; multifariousness ; variety 	 verscheidenheid 	 art 
 divide ; split ; split up ; separate ; dissever ; carve up 	 verdelen 	 verb 
 division ; partition ; partitioning ; segmentation ; sectionalization ; sectionalisation 	 deling 	 mathematics 
 doctor ; doc ; physician ; MD ; Dr. ; medico 	 doctor ; dokter ; arts 	 profession 
 dog ; domestic dog ; Canis familiaris 	 hond 	 animal 
 dominion ; rule 	 dominion 	 society 
 door 	 deur 	 house 
 doubt 	 twijfelen 	 verb 
 doubt ; uncertainty ; incertitude ; dubiety ; doubtfulness ; dubiousness 	 twijfel 	 communication 
 down 	 onder 	 adjective 
 drawer 	 la 	 house 
 drink ; imbibe 	 drinken 	 verb 
 drive 	 besturen 	 verb 
 drop ; drib ; driblet 	 druppel 	 object 
 dry 	 droog 	 adjective 
 dry ; dry out 	 afdrogen 	 verb 
 dry ; dry out 	 drogen ; afdrogen 	 verb 
 during 	 tijdens 	 preposition 
 dust 	 stof 	 material 
 duty 	 plicht 	 abstract 
 dwelling ; home ; domicile ; abode ; habitation ; dwelling house 	 woning 	 house 
 each 	 elk 	 adjective 
 ear 	 oor 	 anatomy 
 earlier ; before 	 voor 	 adverb 
 early 	 vroeg 	 adjective 
 early on ; early 	 vroeg 	 adverb 
 earth ; ground 	 aarde 	 material 
 east 	 oostelijk 	 adjective 
 east ; due east ; eastward ; E 	 oosten 	 logistics 
 easy 	 makkelijk 	 adjective 
 eat 	 eten 	 verb 
 economic 	 economisch 	 adjective 
 economic ; economical 	 economisch 	 adjective 
 economy ; economic system 	 economie 	 business 
 edge ; border 	 kant 	 mathematics 
 education 	 onderwijs 	 education 
 education 	 opvoeding 	 society 
 education ; instruction ; teaching ; pedagogy ; didactics ; educational activity 	 onderricht 	 education 
 effort ; elbow grease ; exertion ; travail ; sweat 	 inspanning 	 abstract 
 egg 	 ei 	 food 
 eight ; 8 ; viii 	 acht 	 number 
 eighteen ; 18 ; xviii 	 achttien 	 number 
 eighth ; 8th 	 achtste ; achtste, 8ste 	 number 
 eighty ; 80 ; lxxx ; fourscore 	 tachtig 	 number 
 either 	 beide 	 adverb 
 election 	 verkiezing 	 mathematics 
 electric ; electrical 	 elektrisch 	 adjective 
 elementary ; simple ; uncomplicated ; unproblematic 	 eenvoudig 	 adjective 
 elephant 	 olifant 	 animal 
 elevator ; lift 	 lift 	 device 
 eleven ; 11 ; xi 	 elf 	 number 
 eleventh ; 11th 	 elfde ; 11e 	 number 
 embrace ; encompass ; comprehend ; cover 	 bevatten 	 verb 
 encourage 	 aanmoedigen 	 verb 
 end ; stop ; finish ; terminate ; cease 	 eindigen 	 verb 
 end ; terminal 	 einde 	 abstract 
 energy ; free energy 	 energie 	 nature 
 engine 	 motor 	 device 
 engineering ; engineering science ; applied science ; technology 	 technische wetenschappen 	 abstract 
 enhance ; heighten ; raise 	 verhogen 	 verb 
 enjoy ; bask ; relish ; savor ; savour 	 genieten 	 verb 
 enough ; plenty 	 genoeg 	 adverb 
 enter ; come in ; get into ; get in ; go into ; go in ; move into 	 binnengaan 	 verb 
 entertainment ; amusement 	 amusement ; vertier 	 art 
 entirely ; exclusively ; solely ; alone ; only 	 alleen 	 adverb 
 entitle ; title 	 betitelen 	 verb 
 envelope 	 envelop ; enveloppe ; briefomslag 	 object 
 environment 	 milieu 	 nature 
 environment ; environs ; surroundings ; surround 	 omgeving 	 nature 
 equal 	 gelijke 	 adjective 
 equally ; as ; every bit 	 als 	 adverb 
 erstwhile ; former ; old ; onetime ; one-time ; quondam ; sometime 	 vroegere 	 adjective 
 especial ; exceptional ; particular ; special 	 bijzonder 	 adjective 
 establish ; found ; plant ; constitute ; institute 	 oprichten 	 verb 
 estimate ; gauge ; approximate ; guess ; judge 	 veronderstellen ; gissen 	 verb 
 estrus ; oestrus ; heat ; rut 	 bronst 	 nature 
 even 	 even 	 adjective 
 even 	 zelfs 	 adverb 
